username,total_commits,total_additions,total_deletions,total_pull_requests,total_issues,first_contribution,last_contribution,contribution_span_days,avg_commits_per_day,label,avg_additions_per_commit,avg_deletions_per_commit,additions_deletions_ratio,code_changes,code_changes_per_commit
Deyvid67,2,14,14,0,0,2019-04-30 16:47:26,2019-05-02 17:33:29,2.0,1.0,0,7.0,7.0,0.9333333333333333,28,14.0
DarkenWizMan,2,168,168,0,0,2020-04-30 16:34:02,2020-05-01 14:06:16,1.0,2.0,1,84.0,84.0,0.9940828402366864,336,168.0
danieljennings,2,51,22,0,0,2020-01-27 17:17:52,2020-02-08 21:41:33,12.0,0.16666666666666666,0,25.5,11.0,2.217391304347826,73,36.5
Def-Try,2,2,2,0,0,2023-07-05 08:52:58,2024-01-22 13:38:33,201.0,0.009950248756218905,0,1.0,1.0,0.6666666666666666,4,2.0
Ktar5,2,10,1,0,0,2017-12-21 21:45:25,2017-12-21 21:46:33,1.0,2.0,1,5.0,0.5,5.0,11,5.5
AzhurniyBaklan,2,0,0,0,0,2021-09-04 14:14:40,2021-09-05 21:06:00,1.0,2.0,1,0.0,0.0,0.0,0,0.0
BorisA11,2,1871,96,0,0,2021-10-08 22:11:54,2021-10-12 19:36:29,3.0,0.6666666666666666,0,935.5,48.0,19.288659793814432,1967,983.5
Bohaska,2,4,2,0,0,2020-11-13 11:10:34,2020-11-13 11:52:34,1.0,2.0,1,2.0,1.0,1.3333333333333333,6,3.0
BaseModMaker,2,74,74,0,0,2020-07-28 14:44:49,2020-07-29 12:04:33,1.0,2.0,1,37.0,37.0,0.9866666666666667,148,74.0
meskobalazs,2,1193,1193,2,0,2024-03-29 19:02:34,2024-04-02 14:06:23,3.0,0.6666666666666666,0,596.5,596.5,0.9991624790619765,2386,1193.0
BLucky-gh,2,8,2,3,0,2019-02-09 08:38:30,2019-03-12 19:09:06,31.0,0.06451612903225806,0,4.0,1.0,2.6666666666666665,10,5.0
TonkyBoi,2,0,0,2,5,2022-10-03 22:30:32,2022-11-07 20:50:47,34.0,0.058823529411764705,0,0.0,0.0,0.0,0,0.0
Ayushkiller,2,5,2,0,0,2024-05-08 14:00:05,2024-06-12 21:33:18,35.0,0.05714285714285714,0,2.5,1.0,1.6666666666666667,7,3.5
Arnyyx,2,124,124,3,0,2021-01-19 22:32:15,2021-02-19 23:32:52,31.0,0.06451612903225806,0,62.0,62.0,0.992,248,124.0
Pointifix,2,8,0,2,1,2022-02-23 02:40:27,2022-11-10 14:40:59,260.0,0.007692307692307693,0,4.0,0.0,8.0,8,4.0
parkuristt,2,236,1,3,0,2021-06-03 22:25:41,2021-10-10 17:40:59,128.0,0.015625,0,118.0,0.5,118.0,237,118.5
OpalSoPL,2,60,59,3,0,2022-11-13 14:58:51,2023-09-09 23:34:47,300.0,0.006666666666666667,0,30.0,29.5,1.0,119,59.5
NoahvdAa,2,4,4,0,0,2021-03-12 14:48:03,2023-04-16 02:12:30,764.0,0.002617801047120419,0,2.0,2.0,0.8,8,4.0
Minxyzgo,2,3,3,0,0,2021-02-24 17:25:38,2021-06-29 12:54:10,124.0,0.016129032258064516,0,1.5,1.5,0.75,6,3.0
minacle,2,43,43,0,0,2021-07-18 13:15:04,2024-06-01 13:32:57,1049.0,0.0019065776930409914,0,21.5,21.5,0.9772727272727273,86,43.0
Mechanicalfish,2,0,0,0,0,2022-10-14 10:50:28,2022-10-25 12:11:06,11.0,0.18181818181818182,0,0.0,0.0,0.0,0,0.0
Shawak,2,14,8,0,0,2019-11-02 00:26:29,2019-11-14 20:11:51,12.0,0.16666666666666666,0,7.0,4.0,1.5555555555555556,22,11.0
blahblahbloopster,2,30,9,0,0,2021-04-03 00:25:07,2021-04-03 00:26:58,1.0,2.0,1,15.0,4.5,3.0,39,19.5
AFFalcons,2,6,4,0,0,2020-12-08 00:14:58,2020-12-08 15:10:30,1.0,2.0,1,3.0,2.0,1.2,10,5.0
markozajc,2,26,8,0,0,2021-01-02 15:52:14,2024-03-31 02:29:39,1183.0,0.0016906170752324597,0,13.0,4.0,2.888888888888889,34,17.0
JaiunL,2,30,30,0,0,2018-07-07 04:24:00,2018-07-07 04:29:11,1.0,2.0,1,15.0,15.0,0.967741935483871,60,30.0
ILiekMelons,2,16,2,0,0,2020-06-15 00:43:25,2020-06-15 13:44:38,1.0,2.0,1,8.0,1.0,5.333333333333333,18,9.0
JarrerLog,2,2,2,0,0,2022-08-22 15:38:39,2022-08-22 17:22:41,1.0,2.0,1,1.0,1.0,0.6666666666666666,4,2.0
s8321414,2,188,0,3,0,2020-01-08 15:27:50,2020-01-14 04:02:43,5.0,0.4,0,94.0,0.0,188.0,188,94.0
JustYanns,2,300,295,2,0,2018-08-19 17:34:17,2018-11-25 09:29:12,97.0,0.020618556701030927,0,150.0,147.5,1.0135135135135136,595,297.5
Kerunope,2,8,4,2,0,2022-05-01 19:10:03,2022-05-02 00:03:28,1.0,2.0,1,4.0,2.0,1.6,12,6.0
kuhnchris,2,4,4,2,0,2021-11-25 17:07:50,2021-12-14 17:52:26,19.0,0.10526315789473684,0,2.0,2.0,0.8,8,4.0
LauweJoster,2,87,87,2,0,2020-02-03 17:37:28,2020-02-11 20:32:18,8.0,0.25,0,43.5,43.5,0.9886363636363636,174,87.0
LetterN,2,20,1,2,0,2019-09-24 21:34:02,2019-10-06 14:34:34,11.0,0.18181818181818182,0,10.0,0.5,10.0,21,10.5
Lonami,2,4,2,2,1,2020-12-31 21:30:35,2022-11-08 13:57:27,676.0,0.0029585798816568047,0,2.0,1.0,1.3333333333333333,6,3.0
Loumardes,2,3,3,2,0,2021-01-19 19:38:11,2021-01-19 19:38:18,1.0,2.0,1,1.5,1.5,0.75,6,3.0
